#         t          x          y          z         vx         vy         vz
      0.000   -476.223    491.436   -412.412     45.333    101.985    142.022
      0.071   -472.951    498.948   -402.037     48.241    106.434    147.114
      0.142   -469.305    506.765   -391.421     58.539    111.420    150.775
      0.214   -465.047    515.032   -380.303     63.149    116.574    159.977
      0.285   -460.197    523.509   -368.472     71.811    123.798    170.885
      0.357   -454.657    532.668   -355.783     81.393    129.037    183.434
      0.428   -448.103    541.955   -342.364     96.307    133.638    191.167
      0.500   -440.904    551.433   -328.529    108.411    135.026    202.870
      0.571   -432.469    561.123   -313.983    130.053    136.888    210.527
      0.642   -422.371    570.870   -298.347    153.808    133.875    222.665
      0.714   -410.452    580.345   -281.702    177.896    126.646    235.178
      0.785   -396.700    588.862   -264.635    205.425    113.668    242.969
      0.857   -380.909    596.263   -247.175    236.443     93.190    247.584
      0.928   -362.704    601.797   -229.405    263.459     59.797    245.409
      1.000   -343.301    605.107   -212.114    280.168     32.017    237.291
      1.071   -323.072    606.341   -195.614    287.864      1.990    220.235
      1.142   -302.655    605.521   -180.450    286.572    -25.166    203.890
      1.214   -282.299    602.790   -166.466    281.442    -53.326    186.602
      1.285   -262.536    598.364   -153.562    271.241    -68.653    175.542
      1.357   -243.396    592.970   -141.353    262.724    -81.429    164.153
      1.428   -224.844    586.563   -130.161    256.692    -96.407    150.276
      1.500   -206.972    579.296   -119.818    244.562   -107.600    139.314
      1.571   -189.863    571.290   -110.351    237.021   -115.523    129.870
      1.642   -173.297    562.818   -101.422    227.437   -122.793    119.671
      1.714   -157.332    553.803    -93.083    217.690   -131.026    112.432
      1.785   -142.175    544.236    -85.400    207.540   -135.556    104.801
      1.857   -127.682    534.382    -78.186    199.094   -141.785     98.464
      1.928   -113.681    524.055    -71.437    190.693   -147.650     90.261
      2.000   -100.294    513.287    -65.170    182.499   -155.006     84.075
      2.071    -87.643    502.076    -59.297    171.143   -157.580     79.954
      2.142    -75.691    490.794    -53.855    168.149   -157.203     73.465
      2.214    -63.988    479.380    -48.936    156.664   -161.271     68.142
      2.285    -52.976    467.620    -44.135    149.967   -165.402     63.306
      2.357    -42.375    455.614    -39.884    144.114   -170.005     58.469
      2.428    -32.361    443.390    -35.731    134.613   -170.640     56.199
      2.500    -23.061    431.083    -31.828    124.325   -176.331     51.558
      2.571    -14.371    418.422    -28.181    116.457   -179.026     47.273
      2.642     -6.250    405.463    -24.909    111.432   -185.653     44.289
      2.714      1.363    392.092    -22.012    102.789   -186.961     38.354
      2.785      8.538    378.656    -19.490     97.638   -189.985     33.244
      2.857     15.206    364.891    -17.083     88.892   -195.969     29.902
      2.928     20.998    350.721    -15.069     76.868   -200.399     24.599
      3.000     26.234    336.337    -13.365     68.863   -203.265     21.756
      3.071     30.762    321.641    -11.779     58.219   -207.924     18.731
      3.142     34.519    306.554    -10.585     47.629   -213.859     15.541
      3.214     37.492    291.152     -9.834     36.778   -218.243      8.782
      3.285     39.502    275.331     -9.477     20.878   -223.211      3.255
      3.357     40.357    259.282     -9.348      4.839   -228.186     -0.960
      3.428     40.201    242.823     -9.528    -13.281   -231.918     -7.108
      3.500     38.429    226.067    -10.271    -32.214   -238.677    -14.070
      3.571     35.500    208.779    -11.490    -54.353   -244.938    -20.525
      3.642     30.868    191.175    -13.292    -79.966   -246.204    -32.178
      3.714     24.003    173.662    -16.031   -113.683   -243.067    -44.042
      3.785     14.482    156.599    -19.648   -152.041   -232.360    -56.772
      3.857      2.466    140.760    -24.235   -188.064   -210.418    -71.713
      3.928    -12.019    126.696    -29.649   -219.977   -178.973    -81.142
      4.000    -28.673    115.669    -35.700   -246.171   -128.948    -86.150
      4.071    -46.998    108.421    -41.572   -260.071    -70.275    -78.508
      4.142    -65.317    105.740    -46.974   -250.821     -1.981    -66.686
      4.214    -82.232    108.145    -51.001   -219.335     69.450    -47.058
      4.285    -96.026    115.227    -53.698   -166.158    123.709    -29.057
      4.357   -105.589    125.361    -54.995   -104.646    154.614    -10.288
      4.428   -111.045    137.010    -55.053    -46.875    169.028      6.858
      4.500   -112.601    149.112    -54.133      1.303    169.704     16.356
      4.571   -111.122    161.088    -52.678     39.510    165.446     25.649
      4.642   -107.060    172.672    -50.706     71.770    160.413     30.737
      4.714   -100.865    183.852    -48.229    100.629    153.760     39.506
      4.785    -92.714    194.451    -45.018    125.208    145.916     49.596
      4.857    -82.774    204.716    -41.129    148.555    137.682     59.529
      4.928    -71.601    214.306    -36.332    167.306    129.801     71.983
      5.000    -59.117    223.315    -30.803    183.187    123.044     85.690
      5.071    -45.360    232.103    -23.939    206.212    120.584    106.480
      5.142    -29.786    240.448    -15.102    230.549    113.375    144.476
      5.214    -12.427    247.780     -2.558    255.406     86.426    213.278
      5.285      5.481    250.926     15.443    232.285     -6.204    277.150
      5.357     20.118    247.493     34.805    179.680    -81.356    260.142
      5.428     31.451    240.384     52.009    142.105   -112.773    221.156
      5.500     40.716    231.683     66.454    117.773   -131.775    184.221
      5.571     48.173    221.836     78.353     94.278   -142.623    156.861
      5.642     54.257    211.398     88.305     77.541   -149.663    128.605
      5.714     59.276    200.345     96.694     62.874   -158.001    104.561
      5.785     63.292    188.910    103.441     50.517   -162.107     81.849
      5.857     66.433    177.142    108.445     33.822   -167.459     58.107
      5.928     68.701    165.198    111.959     20.185   -167.595     36.584
      6.000     69.905    153.197    113.749      6.920   -168.646     11.755
      6.071     69.677    141.264    113.497     -3.987   -166.223    -11.149
      6.142     68.897    129.603    111.829    -18.614   -160.975    -36.442
      6.214     67.140    118.316    108.208    -31.990   -155.318    -65.919
      6.285     64.379    107.729    102.337    -47.004   -142.260    -98.369
      6.357     60.368     98.089     94.111    -63.950   -125.642   -129.631
      6.428     55.286     89.922     83.652    -76.687   -102.647   -162.528
      6.500     49.378     83.646     70.884    -89.346    -71.804   -197.688
      6.571     42.403     80.135     55.729   -102.214    -25.927   -228.468
      6.642     34.932     80.309     38.349   -107.505     34.587   -254.373
      6.714     27.157     85.639     19.997    -99.796    115.465   -253.699
      6.785     20.801     96.526      2.816    -75.983    186.311   -217.881
      6.857     16.599    111.409    -10.352    -39.595    224.775   -151.780
      6.928     15.001    127.732    -19.151     -8.117    231.366    -89.831
      7.000     15.512    143.847    -23.437     19.794    216.555    -37.551
      7.071     17.585    158.502    -24.611     39.347    195.239      4.154
      7.142     21.042    171.633    -23.287     55.177    172.516     36.184
      7.214     25.359    182.918    -19.808     66.207    145.865     62.144
      7.285     30.435    192.387    -14.368     77.240    119.968     85.981
      7.357     36.309    199.925     -7.566     85.842     91.229    104.278
      7.428     42.788    205.425      0.438     93.246     64.457    121.333
      7.500     49.632    208.977      9.606     99.222     32.717    134.496
      7.571     56.842    210.233     19.542    103.341      2.688    144.634
      7.642     64.214    209.303     30.187    103.235    -29.880    153.583
      7.714     71.546    206.008     41.517    102.657    -64.649    161.591
      7.785     78.931    200.177     53.199    104.930   -101.475    162.885
      7.857     86.308    191.593     64.782    102.304   -140.136    161.731
      7.928     93.593    179.888     76.164     96.008   -186.155    156.803
      8.000    100.262    165.034     86.956     89.765   -231.285    142.978
      8.071    106.056    146.553     96.331     72.861   -283.655    115.402
      8.142    110.328    124.711    103.049     45.609   -328.098     67.990
      8.214    112.357    100.322    105.400     10.076   -353.008     -5.300
      8.285    111.460     75.552    101.965    -36.089   -327.945    -88.920
      8.357    107.520     54.272     93.218    -72.346   -263.542   -149.306
      8.428    101.792     38.173     81.368    -84.436   -187.380   -178.414
      8.500     95.663     27.480     68.347    -86.702   -115.442   -181.267
      8.571     89.534     21.595     55.623    -80.689    -51.923   -172.458
      8.642     84.117     19.655     43.927    -74.500     -4.729   -153.276
      8.714     79.268     20.873     33.945    -57.381     37.467   -126.276
      8.785     75.721     24.804     26.076    -40.821     70.338    -96.874
      8.857     73.564     30.737     20.203    -23.133     95.222    -65.140
      8.928     72.749     38.315     16.800     -1.153    116.069    -29.989
      9.000     73.183     47.169     15.727     16.790    131.757      3.574
      9.071     75.127     56.928     17.265     37.538    140.552     40.927
      9.142     78.628     67.176     21.679     61.267    143.801     83.837
      9.214     83.788     77.375     29.288     85.327    140.509    127.817
      9.285     91.022     87.006     40.108    116.257    128.075    175.516
      9.357    100.632     95.164     54.611    149.476     97.493    229.622
      9.428    112.554    100.223     72.825    179.844     37.895    281.278
      9.500    126.633     99.855     94.137    208.754    -55.673    310.117
      9.571    141.767     91.617    115.838    204.905   -173.214    287.180
      9.642    155.282     76.136    133.657    166.222   -245.889    206.267
      9.714    165.487     57.860    145.491    119.565   -259.323    125.372
      9.785    172.300     39.872    151.947     75.858   -242.259     59.910
      9.857    176.620     23.668    154.514     44.244   -211.875     11.671
      9.928    178.622      9.739    153.945     14.092   -178.979    -25.465
     10.000    178.948     -1.633    150.937     -7.679   -141.007    -58.205
     10.071    177.696    -10.166    145.803    -30.155    -99.489    -84.804
     10.142    174.825    -15.611    139.153    -47.333    -54.092   -103.650
     10.214    170.906    -17.685    131.167    -62.366     -1.905   -119.525
     10.285    165.893    -15.827    122.448    -74.710     53.804   -123.989
     10.357    160.112     -9.751    113.520    -85.396    119.270   -124.263
     10.428    154.074      1.485    105.243    -83.158    195.105   -103.626
     10.500    148.784     18.234     99.550    -60.345    274.353    -50.729
     10.571    146.397     39.959     99.144     -1.815    317.699     42.992
     10.642    148.831     61.549    105.682     67.461    274.287    135.341
     10.714    155.400     78.253    117.260    112.265    192.665    180.016
     10.785    164.451     89.046    130.730    135.367    108.495    192.786
     10.857    174.388     94.235    144.304    141.748     36.828    186.155
     10.928    184.516     94.735    157.049    137.514    -22.461    169.989
     11.000    194.155     91.000    168.341    131.820    -78.580    144.644
     11.071    202.996     83.667    177.593    117.556   -124.559    113.740
     11.142    210.648     73.209    184.357     96.541   -166.381     78.062
     11.214    216.410     60.111    188.293     66.273   -198.594     34.005
     11.285    219.899     45.089    188.988     31.220   -222.504    -14.524
     11.357    220.674     28.678    185.631    -12.082   -234.283    -77.902
